State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,temperature,humidity,wind_speed ,Rainfall,soil_type
Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Cotton(lint),7300,9400,26.93,59.81,4.61,520,mixed red and black
Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Cotton(lint),14000,12900,27.08,62,4.22,520,mixed red and black
Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Cotton(lint),9453,10510,26.24,60.44,4.72,520,mixed red and black
Andhra Pradesh,ANANTAPUR,2000,Kharif     ,Cotton(lint),12025,16128,26.53,59.56,4.58,520,mixed red and black
Andhra Pradesh,ANANTAPUR,2001,Kharif     ,Cotton(lint),8552,9055,26.6,60.12,4.67,520,mixed red and black
Andhra Pradesh,ANANTAPUR,2002,Kharif     ,Cotton(lint),7638,7144,27.09,57.94,4.85,520,mixed red and black
Andhra Pradesh,ANANTAPUR,2003,Kharif     ,Cotton(lint),4212,4262,27.66,55.81,4.77,520,mixed red and black
Andhra Pradesh,ANANTAPUR,2004,Kharif     ,Cotton(lint),8933,7041,26.29,61.38,4.62,520,mixed red and black
Andhra Pradesh,ANANTAPUR,2005,Kharif     ,Cotton(lint),3295,3450,26.21,65,4.14,520,mixed red and black
Andhra Pradesh,ANANTAPUR,2006,Kharif     ,Cotton(lint),1506,1940,26.37,62.5,4.59,520,mixed red and black
Andhra Pradesh,ANANTAPUR,2007,Kharif     ,Cotton(lint),3000,2000,26.01,64.19,4.28,520,mixed red and black
Andhra Pradesh,ANANTAPUR,2008,Kharif     ,Cotton(lint),1611,1241,25.95,64,4.33,520,mixed red and black
Andhra Pradesh,ANANTAPUR,2009,Kharif     ,Cotton(lint),2063,1226,26.65,61.25,4.67,520,mixed red and black
Andhra Pradesh,ANANTAPUR,2010,Kharif     ,Cotton(lint),4338,2977,26.58,65.06,4.3,520,mixed red and black
Andhra Pradesh,ANANTAPUR,2011,Kharif     ,Cotton(lint),19299,12069,26.4,60.75,4.73,520,mixed red and black
Andhra Pradesh,ANANTAPUR,2012,Kharif     ,Cotton(lint),27566,35511,26.9,57.88,4.81,520,mixed red and black
Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Cotton(lint),37661,77316,26.51,61.44,4.79,520,mixed red and black
Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Cotton(lint),73734,103779,26.65,59.94,4.59,520,mixed red and black
Andhra Pradesh,CHITTOOR,1999,Kharif     ,Cotton(lint),2,2,26.69,69.12,3.48,946,red
Andhra Pradesh,CHITTOOR,2000,Kharif     ,Cotton(lint),19,25,26.83,69.75,3.53,946,red
Andhra Pradesh,CHITTOOR,2001,Kharif     ,Cotton(lint),2,2,27.19,68.62,3.6,946,red
